Rank,Country,Agility,Entrereneurship,Quality of life,Movers,Social purpose,Cultural influence,Open for business,Power,Adventure,Heritage
1,Switzerland,16,7,4,26,8,8,1,20,14,24
2,Germany,2,1,7,44,13,9,23,4,42,21
3,Canada,3,8,3,63,5,15,10,12,17,28
4,United States,1,2,21,27,18,3,53,1,32,20
5,Sweden,6,9,1,46,1,13,7,22,19,38
6,Japan,4,3,14,8,23,4,39,8,28,9
7,Australia,5,14,9,29,9,10,16,16,8,19
8,United Kingdom,10,4,12,65,12,6,32,5,37,14
9,France,14,13,15,41,15,2,34,7,12,4
10,Denmark,7,10,2,53,3,21,6,27,29,45
11,New Zealand,8,20,10,17,7,20,9,35,6,25
12,Netherlands,9,11,8,60,6,17,11,24,13,26
13,Norway,17,17,5,47,2,22,5,34,22,36
14,Italy,21,21,19,25,19,1,41,15,2,1
15,Finland,20,16,6,55,4,28,3,47,23,46
16,Spain,12,23,18,30,17,5,28,19,3,3
17,China,11,5,25,6,73,11,51,2,59,13
18,Belgium,19,15,11,75,10,23,12,25,38,39
19,Singapore,15,12,23,10,26,18,8,26,20,29
20,South Korea,13,6,24,13,42,7,76,6,51,30
21,United Arab Emirates,18,18,26,1,61,14,57,9,55,53
22,Austria,24,19,13,82,11,26,17,37,21,15
23,Ireland,23,24,16,62,14,30,15,52,16,17
24,Luxembourg,27,22,17,57,16,32,4,43,41,56
25,Greece,29,33,28,11,22,12,36,41,4,2
26,Portugal,22,30,20,52,21,25,20,39,7,12
27,Brazil,26,38,47,9,35,16,67,21,1,11
28,Thailand,35,36,35,7,46,24,13,36,5,10
29,Qatar,25,25,30,3,81,29,70,23,64,82
30,Turkey,32,34,32,14,57,27,61,17,15,7
31,India,40,31,38,5,72,34,37,13,48,8
32,Poland,28,29,22,85,20,48,46,38,40,32
33,Mexico,36,41,39,21,40,19,58,29,9,5
34,Saudi Arabia,34,28,34,4,64,36,82,11,72,47
35,Egypt,50,45,54,2,55,31,69,31,27,6
36,Russia,31,27,48,16,59,35,85,3,66,37
37,Israel,30,26,44,15,53,42,81,10,74,34
38,Argentina,33,43,46,33,29,33,65,42,11,18
39,Malaysia,38,37,31,22,49,40,14,46,30,33
40,Costa Rica,43,62,56,18,43,37,19,70,10,43
41,Indonesia,44,42,36,28,47,45,21,32,34,27
42,South Africa,39,39,60,19,41,39,74,33,35,23
43,Morocco,56,59,52,12,70,38,31,54,24,16
44,Czechia,37,32,27,72,24,51,63,57,43,49
45,Croatia,41,44,29,67,27,43,48,78,26,41
46,Philippines,46,48,37,37,54,44,18,45,25,42
47,Vietnam,53,40,40,24,78,54,29,30,44,31
48,Hungary,51,35,33,81,25,55,55,74,49,40
49,Chile,45,57,53,45,39,50,42,53,36,35
50,Peru,62,75,58,34,45,46,33,68,33,22
51,Dominican Republic,60,73,62,36,50,41,49,67,18,55
52,Colombia,49,63,68,35,60,47,72,40,31,44
53,Panama,64,56,67,66,48,52,2,65,39,59
54,Romania,48,51,43,73,36,49,71,77,45,48
55,Sri Lanka,79,66,63,20,82,57,25,56,46,52
56,Estonia,54,46,42,76,28,70,24,85,63,71
57,Lithuania,42,54,50,61,32,84,45,83,68,75
58,Kenya,71,78,72,23,44,56,44,63,52,54
59,Slovakia,52,49,45,71,33,79,56,80,62,64
60,Bulgaria,59,52,41,80,37,67,54,79,56,60
61,Slovenia,61,53,49,83,31,78,27,82,58,67
62,Ukraine,47,47,82,78,34,62,78,14,69,70
63,Cambodia,78,70,57,32,75,64,38,59,61,57
64,Latvia,63,50,51,84,30,85,22,84,65,72
65,Uruguay,55,60,59,77,38,59,30,81,50,63
66,Jordan,65,65,70,31,74,58,64,50,60,50
67,Bahrain,57,55,61,38,84,53,59,60,78,85
68,Ecuador,58,79,69,59,56,66,40,64,47,58
69,Tunisia,76,69,64,69,65,61,43,69,53,51
70,Paraguay,69,80,66,70,52,63,26,76,54,65
71,Bangladesh,80,64,55,58,80,68,35,44,83,77
72,Ghana,74,83,65,43,58,69,52,66,77,73
73,Azerbaijan,66,71,80,40,67,80,66,58,73,74
74,Cameroon,70,74,75,49,68,65,50,71,71,80
75,Guatemala,81,84,77,54,62,72,47,73,57,62
76,Myanmar,84,77,74,39,83,74,62,49,76,76
77,Zambia,82,85,76,42,66,73,60,75,75,78
78,Oman,75,68,73,48,77,75,68,62,81,81
79,Lebanon,73,82,83,56,71,60,80,48,67,61
80,Algeria,72,72,81,68,63,77,75,61,79,69
81,Serbia,67,61,71,79,51,83,79,72,70,68
82,Kazakhstan,83,76,79,50,79,81,77,51,84,83
83,Iran,77,67,85,51,85,71,84,18,85,66
84,Uzbekistan,85,81,84,64,76,82,73,55,82,79
85,Belarus,68,58,78,74,69,76,83,28,80,84
